Kecamatan,Ketinggian (mdpl),Kemiringan Lereng (%),Penggunaan Lahan
Ilir Timur I,16.2,14.3,Permukiman
Ilir Timur II,29.8,9.0,Permukiman
Ilir Barat I,7.9,2.3,Permukiman
Ilir Barat II,4.2,13.0,Permukiman
Sukarami,24.8,10.6,Permukiman
Kemuning,2.8,14.5,Permukiman
Kalidoni,33.6,3.2,Pertanian
Sako,8.9,2.8,Permukiman
Bukit Kecil,13.6,7.9,Permukiman
Seberang Ulu I,18.4,4.4,Permukiman
Seberang Ulu II,25.3,2.1,Permukiman
Plaju,13.1,5.5,Industri
Kertapati,19.3,11.8,Pertanian
Alang-Alang Lebar,9.6,7.7,Perkebunan
Gandus,24.5,0.7,Pertanian
